     u      w
0.4320 3.5748
4.1221 3.8766
-0.4201 8.1739
5.4932 1.8133
-3.3323 -4.1765
1.8097 5.3212
2.2352 2.4929
3.2455 -5.0346
-2.4921 0.0296
4.7550 -5.6318
-1.9605 -0.8702
-10.9457 -7.7777
7.7972 -2.5134
-1.8523 -3.0148
-3.7390 -11.0288
-5.9276 -2.7935
-4.3825 0.4041
-3.7082 6.0898
3.1671 3.4516
1.5717 4.3059
1.7547 -5.8995
-7.5607 -5.4603
-2.5381 -2.1372
1.9395 2.4969
-0.7180 -1.8031
3.9047 7.8656
5.8713 2.5558
0.2258 -4.1296
-4.7729 -2.6517
-1.0906 -1.4066
-6.9423 -3.8554
-3.3928 -0.4000
-4.7365 1.4096
2.3603 -0.0652
3.7321 3.5029
-0.0504 3.7888
-0.1310 4.5041
-4.7707 5.5264
3.3347 6.4575
1.9710 0.5416
-0.0173 -5.0013
-6.6925 -5.8020
0.7704 -3.8274
-1.5451 2.0247
6.7240 -0.4193
-0.7826 6.8797
0.3264 6.9700
0.6613 6.2589
-0.3693 -3.8441
-2.0050 -4.2712
7.4489 1.6347
4.8768 7.9648
0.1583 -0.0674
2.7875 0.9425
2.1953 5.6430
2.6393 1.1975
4.1685 2.9542
5.7604 -1.4892
-4.8094 -7.5335
-1.0700 1.1925
1.8778 2.9600
2.3602 -4.4363
4.6221 -0.4443
0.3746 -0.5262
-0.3148 0.0251
-1.3002 1.1191
7.2517 -0.6201
0.5368 0.8862
-1.4423 -2.0412
-4.1976 -5.1373
-4.9495 0.5735
-0.4082 -0.3207
5.3832 1.2259
0.7395 2.3161
3.6816 5.3907
2.9783 0.3630
3.8347 1.2468
6.7380 2.8695
0.2128 -7.2316
-3.7583 3.3728
5.8753 0.0857
0.8763 7.1587
-2.0378 -4.0103
3.1450 4.0075
2.0259 3.6970
0.3260 0.4471
-1.9433 3.1490
2.4214 4.5709
2.9262 3.6480
2.7944 5.2996
-1.4388 -4.6090
-0.6841 2.6423
-3.4730 -1.4897
3.1036 -3.5421
-0.0963 -10.4975
3.1389 -0.0875
-4.7236 -6.3123
1.0173 -2.0455
-1.5170 -1.4053
-5.6066 -6.0104
1.3700 1.2232
2.8410 2.7548
0.0868 -6.0802
-0.5035 0.8449
5.4470 -1.3224
-2.1272 -0.0603
-6.9448 -1.0456
-4.3881 1.0459
4.7962 -2.5126
1.1135 2.2298
-0.1423 -4.8944
-9.6435 -1.6755
-2.1838 2.3829
0.7464 -0.8715
1.6421 -0.4422
-2.2838 -2.4192
-1.9567 -2.7104
-0.8389 0.7755
4.7324 2.4642
-0.5476 1.1678
-2.4895 -5.7878
-5.0244 -3.8818
-0.9759 2.3381
-3.9155 -4.2049
1.8853 1.7313
1.5607 -1.3078
0.6152 4.6142
4.0235 -0.3253
3.2842 -4.2274
5.1450 -1.6123
-4.8473 -3.0319
2.5859 1.9018
1.1099 -0.6088
-2.3757 0.5038
-0.8612 -5.1879
-3.2892 -2.4089
4.6277 5.2356
-0.0137 3.4188
4.0770 -0.1741
5.0610 0.4860
-0.3244 0.3623
1.5170 -1.3818
7.3552 5.3711
9.1922 -0.1728
0.0850 2.0678
